pmid,title,pub_year_num,rq2_group,is_combo,auc_num,auc_logit,vi,var_approx,sens_num,spec_num,cohort_size_num,validation_type,screening_or_clinical,model_type,design_quality_num,input_modalities
37598236,Advances in methylation analysis of liquid biopsy in early cancer detection of colorectal and lung cancer.,2023,meth_only,0,0.956,3.0785682791331395,0.12446752791557705,True,0.781,0.992,191.0,none,clinical_diagnosis,deep_learning,4,cfDNA_methylation
37819044,Multimodal analysis of methylomics and fragmentomics in plasma cell-free DNA for multi-cancer early detection and localization.,2023,meth+fragmentomics,1,,,,True,0.724,,1550.0,none,screening,other_ML,10,cfDNA_methylation|cfDNA_fragmentomics|ctDNA
32420067,DNA methylation markers that correlate with occult lymph node metastases of non-small cell lung cancer and a preliminary prediction model.,2020,meth+clinical,1,,,,True,,,119.0,none,both,random_forest,7,cfDNA_methylation|clinical_features
34251068,Prediction model for malignant pulmonary nodules based on cfMeDIP-seq and machine learning.,2021,meth_only,0,,,,True,,0.91,,none,clinical_diagnosis,random_forest,2,cfDNA_methylation
40020968,Clinicopathological Predictors of the Presence of Blood Circulating Tumor DNA in Early-Stage Non-Small Cell Lung Cancers.,2025,meth+ctDNA,1,,,,True,,,180.0,none,both,other_ML,5,cfDNA_methylation|ctDNA
38812772,Diagnostic value of combined detection of plasma cfDNA concentration and integrity in NSCLC.,2024,meth_only,0,,,,True,,,53.0,none,both,,4,cfDNA_methylation
37318381,Circulating cell-free DNA sequencing for early detection of lung cancer.,2023,meth+fragmentomics,1,,,,True,,,,none,both,,8,cfDNA_methylation|cfDNA_fragmentomics
40255184,Genomics and the early diagnosis of lung cancer.,2025,meth+fragmentomics,1,,,,True,,,,none,both,,2,cfDNA_methylation|LDCT|CT|imaging|cfDNA_fragmentomics|ctDNA
31775567,DNA methylation biomarkers discovered in silico detect cancer in liquid biopsies from non-small cell lung cancer patients.,2020,meth_only,0,0.956,3.0785682791331395,0.23773297831875215,True,,,,none,clinical_diagnosis,,4,cfDNA_methylation
40281631,Plasma cell-free DNA methylation profile before afatinib treatment is associated with progression-free and overall survival of patients with epidermal growth factor receptor gene mutation-positive non-small cell lung cancer.,2025,meth_only,0,,,,True,0.96,,103.0,none,clinical_diagnosis,,4,cfDNA_methylation
34422992,Cell-free DNA from bronchoalveolar lavage fluid (BALF): a new liquid biopsy medium for identifying lung cancer.,2021,meth_only,0,,,,True,0.71,0.778,48.0,none,clinical_diagnosis,other_ML,3,cfDNA_methylation
37038139,HOXA9 gene promotor methylation and copy number variation of SOX2 and HV2 genes in cell free DNA: A potential diagnostic panel for non-small cell lung cancer.,2023,meth_only,0,,,,True,,,,none,clinical_diagnosis,,2,cfDNA_methylation
40737714,Pan-cancer methylation analysis of circulating cell-free DNA.,2025,meth_only,0,,,,True,,,103.0,none,both,,4,cfDNA_methylation
34800919,Combined multimodal ctDNA analysis and radiological imaging for tumor surveillance in Non-small cell lung cancer.,2022,meth+ctDNA,1,,,,True,,,61.0,none,clinical_diagnosis,,4,cfDNA_methylation|CT|imaging|ctDNA
40765058,Detecting actionable mutations from matched plasma-based versus tissue next-generation sequencing in advanced non-small cell lung cancer: a retrospective single centre analysis on site.,2025,meth_only,0,,,,True,,,102.0,none,clinical_diagnosis,,7,cfDNA_methylation
31911847,Clinical applications of liquid biopsies for early lung cancer detection.,2019,meth_only,0,,,,True,,,,none,clinical_diagnosis,,2,cfDNA_methylation|miRNA
40847031,A prediction model based on cfDNA concentration and cfDNA methylation biomarkers for lung cancer detection.,2025,meth_only,0,,,,True,,,179.0,none,clinical_diagnosis,,6,cfDNA_methylation
41603032,Expanding role of cell-free DNA for the early diagnosis and monitoring of pulmonary diseases.,2026,meth+fragmentomics,1,,,,True,,,,none,clinical_diagnosis,,4,cfDNA_methylation|cfDNA_fragmentomics
36400018,Evaluation of cell-free DNA approaches for multi-cancer early detection.,2022,meth_only,0,,,,True,,,,none,clinical_diagnosis,other_ML,4,cfDNA_methylation
38410586,Cell-free DNA methylation profile potential in the diagnosis of lung squamous cell carcinoma.,2024,meth_only,0,,,,True,,,49.0,none,clinical_diagnosis,other_ML,3,cfDNA_methylation
35126793,A Sight of the Diagnostic Value of Aberrant Cell-Free DNA Methylation in Lung Cancer.,2022,meth_only,0,,,,True,,,29.0,none,clinical_diagnosis,other_ML,6,cfDNA_methylation
